the	23135851162
of	13151942776
and	12997637966
to	12136980858
a	9081174698
in	8469404971
for	5933321709
is	4705743816
on	3750423199
that	3400031103
by	3350048871
this	3228469771
with	3183110675
i	3086225277
you	2996181025
it	2813163874
not	2633487141
or	2590739907
be	2398724162
are	2393614870
from	2275595356
at	2272272772
as	2247431740
your	2069893353
all	1984014070
have	1878488099
new	1839527183
more	1826306142
an	1806295595
was	1783871734
we	1683219826
will	1651643520
home	1621257267
can	1611392458
us	1580525841
about	1568390726
if	1547120271
page	1539715039
my	1517080252
has	1503717671
search	1479275186
free	1462777058
but	1440916653
our	1401470039
one	1396475631
other	1385133714
do	1382283460
no	1355901943
information	1319925212
time	1290109457
they	1287902582
site	1284416313
he	1283896259
up	1283481203
may	1279148169
what	1274069523
which	1272401726
their	1269331057
name	1265065502
also	1263084588
been	1259721132
help	1255462913
were	1252332006
some	1251813677
when	1248785200
how	1243855753
would	1234297099
who	1233223251
world	1231868965
these	1231459599
so	1229590032
out	1226263257
use	1223503988
data	1221124369
get	1220453840
com	1219460522
made	1218280266
than	1216712203
first	1214902307
water	1211100337
been	1207674216
call	1205904351
whom	1203890162
during	1202757397
however	1201667058
now	1200483969
find	1198896412
should	1197907571
city	1196826929
between	1195752787
mail	1194713143
each	1193679012
part	1192646534
still	1191614056
must	1190581578
state	1189549100
should	1188516622
american	1187484144
where	1186451666
system	1185419188
each	1184386710
right	1183354232
program	1182321754
hear	1181289276
so	1180256798
question	1179224320
during	1178191842
work	1177159364
three	1176126886
get	1175094408
against	1174061930
man	1173029452
before	1171996974
